year,depth,chl_a,pH,temp,nitrate
2000,0,1.34,NaN,NaN,NaN
2000,3,1.34,NaN,NaN,NaN
2000,9,3.34,NaN,NaN,NaN
2000,0,0,NaN,NaN,NaN
2000,3,2,NaN,NaN,NaN
2000,9,4.67,NaN,NaN,NaN
2000,0,NaN,NaN,NaN,NaN
2000,3,NaN,NaN,NaN,NaN
2000,9,NaN,NaN,NaN,NaN
2000,8.1,NaN,NaN,NaN,NaN
2000,9.3,NaN,NaN,NaN,NaN
2000,9.5,NaN,NaN,NaN,NaN
2000,0,0.67,NaN,NaN,NaN
2000,3,1.34,NaN,NaN,NaN
2000,9,2.67,NaN,NaN,NaN
2000,8.1,NaN,NaN,NaN,NaN
2000,10.4,NaN,NaN,NaN,NaN
2000,10.5,NaN,NaN,NaN,NaN
2000,0,NaN,NaN,NaN,NaN
2000,3,NaN,NaN,NaN,NaN
2000,9,NaN,NaN,NaN,NaN
2000,8.1,NaN,NaN,NaN,NaN
2000,9.8,NaN,NaN,NaN,NaN
2000,10.3,NaN,NaN,NaN,NaN
2000,10.4,NaN,NaN,NaN,NaN
2000,0,2.67,NaN,NaN,NaN
2000,3,4.01,NaN,NaN,NaN
2000,9,6.01,NaN,NaN,NaN
2000,8.5,NaN,NaN,NaN,NaN
2000,10.6,NaN,NaN,NaN,NaN
2000,10.7,NaN,NaN,NaN,NaN
2000,0,NaN,NaN,NaN,NaN
2000,3,NaN,NaN,NaN,NaN
2000,9,NaN,NaN,NaN,NaN
2000,10.9,NaN,NaN,NaN,NaN
2000,12.3,NaN,NaN,NaN,NaN
2000,12.3,NaN,NaN,NaN,NaN
2000,0,4.01,NaN,NaN,NaN
2000,3,2,NaN,NaN,NaN
2000,9,1.34,NaN,NaN,NaN
2000,9.2,NaN,NaN,NaN,NaN
2000,11.7,NaN,NaN,NaN,NaN
2000,11.7,NaN,NaN,NaN,NaN
2000,0,NaN,NaN,NaN,NaN
2000,3,0.95,NaN,NaN,NaN
2000,9,0.36,NaN,NaN,NaN
2000,10.7,NaN,NaN,NaN,NaN
2000,12.1,NaN,NaN,NaN,NaN
2000,12.2,NaN,NaN,NaN,NaN
2001,0,NaN,NaN,5.1,NaN
2001,3,NaN,NaN,4.8,NaN
2001,9,NaN,NaN,4.7,NaN
2001,0,1.66,NaN,8.5,NaN
2001,3,2.6,NaN,8.3,NaN
2001,9,1.18,NaN,6.7,NaN
2001,0,1.3,NaN,9,NaN
2001,3,1.66,NaN,8.5,NaN
2001,9,3.08,NaN,7.7,NaN
2001,0,NaN,NaN,9.1,NaN
2001,3,NaN,NaN,9,NaN
2001,9,NaN,NaN,8.1,NaN
2001,0,0.47,NaN,11.2,NaN
2001,3,0.24,NaN,11.1,NaN
2001,9,NaN,NaN,8.4,NaN
2001,0,1.58,NaN,NaN,NaN
2001,3,2.49,NaN,NaN,NaN
2001,9,2.84,NaN,NaN,NaN
2002,0,0.36,NaN,10.8,NaN
2002,3,1.3,NaN,10,NaN
2002,9,4.26,NaN,7.4,NaN
2002,0,0.71,NaN,11.8,NaN
2002,3,0.59,NaN,11.1,NaN
2002,9,5.33,NaN,7.7,NaN
2002,0,2.13,NaN,13,NaN
2002,3,0.36,NaN,11.5,NaN
2002,9,5.33,NaN,8.2,NaN
2002,0,NaN,NaN,12,NaN
2002,1,NaN,NaN,NaN,NaN
2002,2,NaN,NaN,NaN,NaN
2002,3,NaN,NaN,11.8,NaN
2002,4,NaN,NaN,NaN,NaN
2002,5,NaN,NaN,NaN,NaN
2002,6,NaN,NaN,NaN,NaN
2002,7,NaN,NaN,NaN,NaN
2002,8,NaN,NaN,NaN,NaN
2002,0,0.59,NaN,14,NaN
2002,3,0.24,NaN,13.2,NaN
2002,9,5.33,NaN,8.4,NaN
2002,0,NaN,NaN,NaN,NaN
2002,3,NaN,NaN,NaN,NaN
2002,3,NaN,NaN,NaN,NaN
2002,9,NaN,NaN,NaN,NaN
2002,0,4.5,NaN,13,NaN
2002,3,3.79,NaN,12.9,NaN
2002,9,7.81,NaN,9,NaN
2002,0,1.78,NaN,11.4,NaN
2002,3,2.37,NaN,10.9,NaN
2002,9,3.32,NaN,10.2,NaN
2002,0,2.49,NaN,11.9,NaN
2002,0,2.49,NaN,11.9,NaN
2002,3,2.13,NaN,11.8,NaN
2002,9,3.43,NaN,10.4,NaN
2003,0,NaN,NaN,5.2,NaN
2003,3,NaN,NaN,5.1,NaN
2003,9,NaN,NaN,5,NaN
2003,0,NaN,NaN,8.1,NaN
2003,3,NaN,NaN,7.8,NaN
2003,6,NaN,NaN,NaN,NaN
2003,9,NaN,NaN,5.8,NaN
2003,0,NaN,NaN,8.7,NaN
2003,3,NaN,NaN,8.1,NaN
2003,9,NaN,NaN,6.5,NaN
2003,0,NaN,NaN,9.7,NaN
2003,3,NaN,NaN,9.5,NaN
2003,9,NaN,NaN,7.2,NaN
2003,0,NaN,NaN,12.3,NaN
2003,3,NaN,NaN,11.9,NaN
2003,9,NaN,NaN,8.8,NaN
2004,0,NaN,NaN,4.6,NaN
2004,3,1.18,NaN,4.6,NaN
2004,9,0.59,NaN,4.6,NaN
2004,0,2.37,NaN,NaN,NaN
2004,3,1.18,NaN,NaN,NaN
2004,9,5.92,NaN,NaN,NaN
2004,0,NaN,NaN,11.3,NaN
2004,3,NaN,NaN,9.5,NaN
2004,9,NaN,NaN,6.3,NaN
2004,0,1.18,NaN,9.3,NaN
2004,3,1.18,NaN,9.2,NaN
2004,9,4.14,NaN,6.5,NaN
2004,0,4.74,NaN,8.9,NaN
2004,3,2.37,NaN,8.9,NaN
2004,9,3.55,NaN,8.5,NaN
2005,0,1.45,NaN,NaN,NaN
2005,3,1.85,NaN,NaN,NaN
2005,9,1.89,NaN,NaN,NaN
2005,0,2.14,NaN,6.6,NaN
2005,3,1.81,NaN,5.6,NaN
2005,9,2.21,NaN,5.2,NaN
2005,0,3.48,NaN,8.3,NaN
2005,3,2.79,NaN,7.8,NaN
2005,9,8.59,NaN,6.8,NaN
2005,0,3.34,NaN,9.1,NaN
2005,3,NaN,NaN,9.1,NaN
2005,9,18.68,NaN,7.6,NaN
2005,0,2.12,NaN,10.7,NaN
2005,3,1.36,NaN,10.6,NaN
2005,9,5.41,NaN,9,NaN
2005,0,3.95,NaN,NaN,NaN
2005,3,5.61,NaN,10.1,NaN
2005,9,9.72,NaN,8.8,NaN
2005,0,1.79,NaN,11.1,NaN
2005,3,NaN,NaN,10.9,NaN
2005,9,NaN,NaN,9.2,NaN
2005,0,1.73,NaN,9,NaN
2005,3,0.98,NaN,9.1,NaN
2005,9,1.52,NaN,8.9,NaN
2006,3,7.07,7.5,NaN,NaN
2006,9,6.41,6.05,NaN,NaN
2006,0,7.23,7.75,NaN,NaN
2006,0,6.79,7.7,7.8,NaN
2006,1,NaN,NaN,7.7,NaN
2006,2,NaN,NaN,7.7,NaN
2006,3,6.72,7.6,7.7,NaN
2006,4,NaN,NaN,7.7,NaN
2006,5,NaN,NaN,7.4,NaN
2006,6,NaN,NaN,7.3,NaN
2006,7,NaN,NaN,7.3,NaN
2006,8,NaN,NaN,7.3,NaN
2006,9,6.43,7.4,7.2,NaN
2006,10,NaN,NaN,7.1,NaN
2006,11,NaN,NaN,7,NaN
2006,12,NaN,NaN,7,NaN
2006,13,NaN,NaN,7.2,NaN
2006,0,7.62,10.9,NaN,NaN
2006,3,7.41,10.7,NaN,NaN
2006,9,6.76,7.7,NaN,NaN
2006,0,8.3,11.5,NaN,NaN
2006,3,8.01,11,NaN,NaN
2006,9,6.89,9.4,NaN,NaN
2006,0,8.04,7.53,11.8,NaN
2006,1,NaN,7.7,11.3,NaN
2006,2,NaN,7.88,11.2,NaN
2006,3,7.91,7.88,11.1,NaN
2006,4,NaN,7.69,11,NaN
2006,5,NaN,7.38,10.9,NaN
2006,6,NaN,7.3,10.9,NaN
2006,7,NaN,7.1,10.7,NaN
2006,8,NaN,6.84,10.6,NaN
2006,9,7.28,6.58,10.4,NaN
2006,10,NaN,6.77,9.3,NaN
2006,11,NaN,5.68,7.5,NaN
2006,12,NaN,5.39,7.3,NaN
2006,13,NaN,5.52,7.2,NaN
2006,0,7.23,11.3,NaN,NaN
2006,3,7.33,11.3,NaN,NaN
2006,9,6.98,10.9,NaN,NaN
2007,0,NaN,7.31,8.8,NaN
2007,3,NaN,7.55,8.7,NaN
2007,9,NaN,7.54,7.3,NaN
2007,0,NaN,7.37,8.8,NaN
2007,3,NaN,7.56,8.8,NaN
2007,9,NaN,7.51,8.5,NaN
2007,0,NaN,8.32,11.4,NaN
2007,3,NaN,6.99,10.5,NaN
2007,9,NaN,5.57,9.35,NaN
2007,0,NaN,7.47,12.2,NaN
2007,3,NaN,5.83,11.6,NaN
2007,9,NaN,5.05,10.1,NaN
2007,0,NaN,7.44,12.2,NaN
2007,3,NaN,6.32,10.8,NaN
2007,9,NaN,4.9,9,NaN
2007,0,NaN,7.3,10.7,NaN
2007,3,NaN,6.99,10.3,NaN
2007,9,NaN,6.75,9.8,NaN
2007,0,NaN,7.32,12,NaN
2007,3,NaN,5.7,11.3,NaN
2007,9,NaN,5.82,10.3,NaN
2008,0,1.31,NaN,7.2,NaN
2008,9,0,NaN,6.3,NaN
2008,3,0.58,NaN,6.7,NaN
2008,3,0,NaN,9.4,NaN
2008,9,1.54,NaN,6.9,NaN
2008,0,15.4,NaN,9.5,NaN
2008,0,4.65,NaN,10.1,NaN
2008,9,5.94,NaN,7.6,NaN
2008,3,5.02,NaN,9.7,NaN
2008,3,1.66,NaN,10.5,NaN
2008,9,0,NaN,8,NaN
2008,0,2.91,NaN,NaN,NaN
2009,3,0.3,NaN,NaN,NaN
2009,5,2.06,NaN,NaN,NaN
2009,7,0.27,NaN,NaN,NaN
2009,0,0,NaN,NaN,NaN
2009,3,0.38,NaN,NaN,NaN
2009,5,0.94,NaN,NaN,NaN
2009,7,0.72,NaN,NaN,NaN
2009,9,0.4,NaN,NaN,NaN
2009,0,0.2,NaN,NaN,NaN
2009,3,0.26,NaN,NaN,NaN
2009,5,0.22,NaN,NaN,NaN
2009,7,0.19,NaN,NaN,NaN
2009,9,0.41,NaN,NaN,NaN
2010,0,0.4,6.43,NaN,NaN
2010,3,0.82,6.49,NaN,NaN
2010,9,0.81,6.48,NaN,NaN
2010,0,0.71,6.67,NaN,NaN
2010,3,1.08,6.27,NaN,NaN
2010,0,1.43,7.14,NaN,NaN
2010,3,1.04,6.78,NaN,NaN
2010,9,1.47,6.18,NaN,NaN
2010,0,1.12,7.65,NaN,NaN
2010,3,1.5,7.21,NaN,NaN
2010,9,3.33,5.96,NaN,NaN
2010,0,2.26,7.49,NaN,NaN
2010,3,1.48,6.4,NaN,NaN
2010,9,2.12,5.6,NaN,NaN
2010,0,NaN,5.32,NaN,NaN
2010,9,NaN,4.48,NaN,NaN
2010,3,NaN,5.75,NaN,NaN
2011,0,0,NaN,7.1,NaN
2011,9,NaN,NaN,6.1,NaN
2011,1,NaN,NaN,6.8,NaN
2011,3,0,NaN,6.1,NaN
2011,5,NaN,NaN,6.4,NaN
2011,7,NaN,NaN,6.3,NaN
2011,9,0.79,NaN,7.4,NaN
2011,0,0,NaN,8.8,NaN
2011,2,NaN,NaN,8.6,NaN
2011,1,NaN,NaN,8.6,NaN
2011,4,NaN,NaN,8.6,NaN
2011,5,NaN,NaN,8.6,NaN
2011,6,NaN,NaN,8.1,NaN
2011,7,NaN,NaN,7.9,NaN
2011,8,NaN,NaN,7.6,NaN
2011,3,1.27,NaN,8.6,NaN
2011,0,0.18,NaN,9.8,NaN
2011,1,NaN,NaN,9.8,NaN
2011,2,NaN,NaN,9.8,NaN
2011,3,0,NaN,9.8,NaN
2011,4,NaN,NaN,9.8,NaN
2011,5,NaN,NaN,9.8,NaN
2011,6,NaN,NaN,9.7,NaN
2011,7,NaN,NaN,9.7,NaN
2011,8,NaN,NaN,9.6,NaN
2011,9,0,NaN,9.6,NaN
2011,0,0.47,NaN,8.5,NaN
2011,1,NaN,NaN,8.5,NaN
2011,2,NaN,NaN,8.5,NaN
2011,3,0.27,NaN,8.5,NaN
2011,4,NaN,NaN,8.4,NaN
2011,5,NaN,NaN,8.3,NaN
2011,6,NaN,NaN,8.3,NaN
2011,7,NaN,NaN,8.1,NaN
2011,8,NaN,NaN,8,NaN
2011,9,0.04,NaN,7.9,NaN
2011,0,0,6.96,6.5,NaN
2011,1,NaN,7.01,6.6,NaN
2011,2,NaN,7.05,6.6,NaN
2011,3,1.01,6.93,6.6,NaN
2011,4,NaN,7.05,6.6,NaN
2011,6,NaN,7.18,6.6,NaN
2011,7,NaN,7.1,6.6,NaN
2011,8,NaN,7.08,6.6,NaN
2011,9,0.13,7.04,6.6,NaN
2012,0,NaN,NaN,NaN,NaN
2012,1,NaN,NaN,NaN,NaN
2012,2,NaN,NaN,NaN,NaN
2012,3,NaN,NaN,NaN,NaN
2012,4,NaN,NaN,NaN,NaN
2012,5,NaN,NaN,NaN,NaN
2012,6,NaN,NaN,NaN,NaN
2012,7,NaN,NaN,NaN,NaN
2012,8,NaN,NaN,NaN,NaN
2012,9,NaN,NaN,NaN,NaN
2012,0,NaN,6.9,10,NaN
2012,1,NaN,6.96,9.9,NaN
2012,2,NaN,7,9.8,NaN
2012,3,NaN,7.01,9.5,NaN
2012,4,NaN,7.03,8.9,NaN
2012,5,NaN,7.05,8.5,NaN
2012,6,NaN,7.13,8.2,NaN
2012,7,NaN,7.11,8,NaN
2012,8,NaN,7.84,7.9,NaN
2012,9,NaN,7.6,7.7,NaN
2012,0,NaN,6.51,9.8,NaN
2012,1,NaN,6.16,9.7,NaN
2012,2,NaN,5.96,9.7,NaN
2012,3,NaN,5.68,9.7,NaN
2012,4,NaN,5.75,9.7,NaN
2012,5,NaN,5.66,9.6,NaN
2012,6,NaN,4.1,9.4,NaN
2012,7,NaN,3.79,9.4,NaN
2012,8,NaN,4.1,9.1,NaN
2012,9,NaN,3.73,8.2,NaN
2012,0,NaN,7.69,11.8,NaN
2012,1,NaN,7.47,11.6,NaN
2012,2,NaN,7.36,11.6,NaN
2012,3,NaN,7.26,11.6,NaN
2012,4,NaN,6.49,11.2,NaN
2012,5,NaN,6.17,10.7,NaN
2012,6,NaN,6.15,10.5,NaN
2012,7,NaN,6.1,10.1,NaN
2012,8,NaN,5.76,9.4,NaN
2012,9,NaN,5.75,8.5,NaN
2012,0,NaN,1.9,11.1,NaN
2012,1,NaN,1.75,11,NaN
2012,2,NaN,1.24,11,NaN
2012,3,NaN,0.8,10.9,NaN
2012,4,NaN,0.69,10.6,NaN
2012,5,NaN,0.7,10.6,NaN
2012,6,NaN,1.65,10.4,NaN
2012,7,NaN,0.38,10.3,NaN
2012,8,NaN,0.97,10,NaN
2012,9,NaN,1.28,9,NaN
2012,0,NaN,NaN,11.8,NaN
2012,1,NaN,NaN,11.5,NaN
2012,2,NaN,NaN,11.4,NaN
2012,3,NaN,NaN,11.3,NaN
2012,4,NaN,NaN,11.2,NaN
2012,5,NaN,NaN,11.2,NaN
2012,6,NaN,NaN,11.1,NaN
2012,7,NaN,NaN,11,NaN
2012,8,NaN,NaN,10.7,NaN
2012,9,NaN,NaN,10.2,NaN
2013,0,0.35,7.89,9.9,NaN
2013,1,NaN,7.75,9.45,NaN
2013,2,NaN,7.52,9.2,NaN
2013,4,NaN,7.37,8.6,NaN
2013,5,NaN,7.28,8.5,NaN
2013,6,NaN,7.23,8.3,NaN
2013,7,NaN,7.15,7.85,NaN
2013,8,NaN,6.97,7.5,NaN
2013,10,NaN,6.53,6.85,NaN
2013,11,NaN,6.3,6.6,NaN
2013,12,NaN,6.11,6.6,NaN
2013,13,NaN,6.25,6.5,NaN
2013,3,0.4,7.5,9.15,NaN
2013,9,0.4,6.76,7.1,NaN
2013,1,NaN,8.24,9.6,NaN
2013,2,NaN,8.04,9.55,NaN
2013,4,NaN,7.72,9.45,NaN
2013,5,NaN,7.66,9.4,NaN
2013,6,NaN,7.55,9.2,NaN
2013,7,NaN,7.47,9.1,NaN
2013,8,NaN,7.35,9.05,NaN
2013,10,NaN,6.98,7.1,NaN
2013,11,NaN,6.66,6.75,NaN
2013,12,NaN,6.38,6.6,NaN
2013,13,NaN,6.13,6.55,NaN
2013,0,0.6,8.42,9.75,NaN
2013,3,0.66,7.95,9.45,NaN
2013,9,0.97,7.22,8.3,NaN
2013,0,0.96,7.94,9.7,NaN
2013,1,NaN,7.79,9.65,NaN
2013,2,NaN,7.65,9.6,NaN
2013,3,0.03,7.38,9.6,NaN
2013,4,NaN,7.19,9.55,NaN
2013,5,NaN,7.05,9.55,NaN
2013,6,NaN,6.94,9.5,NaN
2013,7,NaN,6.72,9.4,NaN
2013,8,NaN,6.45,9.4,NaN
2013,9,5.2,6.38,9.2,NaN
2013,10,NaN,5.82,9.05,NaN
2013,0,3.6,7.86,10.3,NaN
2013,3,0.9,7.55,10.2,NaN
2013,9,4.9,6.85,10,NaN
2013,1,NaN,7.73,10.25,NaN
2013,2,NaN,7.64,10.25,NaN
2013,4,NaN,7.45,10.2,NaN
2013,5,NaN,7.38,10.2,NaN
2013,6,NaN,7.22,10.15,NaN
2013,7,NaN,7.08,10.1,NaN
2013,8,NaN,6.96,10.05,NaN
2013,10,NaN,6.75,10,NaN
2013,11,NaN,6.51,9.35,NaN
2013,12,NaN,6.15,8.15,NaN
2013,13,NaN,5.88,7.7,NaN
2013,0,3,8.69,9.2,NaN
2013,3,3.7,7.79,9.4,NaN
2013,9,6.2,7.28,9.3,NaN
2013,1,NaN,8.15,9.25,NaN
2013,2,NaN,7.85,9.35,NaN
2013,4,NaN,7.78,9.4,NaN
2013,5,NaN,7.73,9.4,NaN
2013,6,NaN,7.59,9.4,NaN
2013,7,NaN,7.51,9.3,NaN
2013,8,NaN,7.39,9.3,NaN
2013,10,NaN,7.19,9.3,NaN
2013,11,NaN,7.02,9.25,NaN
2013,12,NaN,6.89,9.2,NaN
2013,13,NaN,6.13,9.05,NaN
2013,1,NaN,7.79,10.6,NaN
2013,2,NaN,7.78,10.6,NaN
2013,4,NaN,7.6,10.4,NaN
2013,5,NaN,7.58,10.1,NaN
2013,6,NaN,7.34,10,NaN
2013,7,NaN,7.25,9.8,NaN
2013,8,NaN,6.93,9.5,NaN
2013,10,NaN,6.57,9.1,NaN
2013,11,NaN,6.29,9,NaN
2013,12,NaN,6.04,8.9,NaN
2013,13,NaN,6.05,8.8,NaN
2013,0,1.6,7.82,10.8,NaN
2013,3,1.5,7.74,10.5,NaN
2013,9,6.5,6.79,9.3,NaN
2014,0,2.61,6.24,6.95,NaN
2014,1,NaN,6.45,6.45,NaN
2014,2,NaN,6.55,6.35,NaN
2014,4,NaN,6.63,6.15,NaN
2014,5,NaN,6.55,6.05,NaN
2014,6,NaN,6.58,5.9,NaN
2014,7,NaN,6.7,5.9,NaN
2014,8,NaN,6.68,5.85,NaN
2014,10,NaN,6.66,5.75,NaN
2014,11,NaN,6.54,5.65,NaN
2014,12,NaN,6.7,5.7,NaN
2014,3,3.62,6.61,6.25,NaN
2014,9,2.42,6.66,5.75,NaN
2014,0,2.54,7.11,9.1,NaN
2014,1,NaN,7.18,9,NaN
2014,2,NaN,7.2,8.85,NaN
2014,3,2.17,7.24,8.65,NaN
2014,4,NaN,7.31,8.5,NaN
2014,5,NaN,7.32,8.5,NaN
2014,6,NaN,7.28,8.45,NaN
2014,7,NaN,7.05,8.2,NaN
2014,8,NaN,6.55,8,NaN
2014,9,3.45,6.52,8.05,NaN
2014,10,NaN,6.47,7.75,NaN
2014,0,1.19,6.84,8.4,NaN
2014,3,1.12,6.47,7.95,NaN
2014,9,0.99,5.52,7.45,NaN
2014,1,NaN,6.81,8.4,NaN
2014,2,NaN,6.6,8.4,NaN
2014,4,NaN,6.26,7.75,NaN
