date,time,grid,trap,l_ear,r_ear,sex,age,weight,hindft,notes,b_key,session_id,study
11/26/1998,,bonrip,1A,414D096A08,,,,1370,160,,917,51,Population
11/26/1998,,bonrip,2C,414D320671,,M,,1430,NA,,936,51,Population
11/26/1998,,bonrip,2D,414D103E3A,,M,,1430,NA,,921,51,Population
11/26/1998,,bonrip,2E,414D262D43,,,,1490,135,,931,51,Population
11/26/1998,,bonrip,3B,414D2B4B58,,,,1710,150,,933,51,Population
11/26/1998,,bonrip,3D,414D193011,,F,,1890,145,,926,51,Population
11/26/1998,,bonrip,4A,414D0F5B3D,,,,2170,140,,920,51,Population
11/26/1998,,bonrip,4B,414D12350C,,,,2170,NA,,923,51,Population
11/26/1998,,bonrip,4C,414D197C34,,M,,1510,134,,927,51,Population
11/26/1998,,bonrip,4E,414D1D0559,,M,,1590,NA,,928,51,Population
11/26/1998,,bonrip,5A,414D1E3557,,,,1830,NA,,929,51,Population
11/26/1998,,bonrip,5C,414D0E236B,,M,,1710,NA,,919,51,Population
11/26/1998,,bonrip,5D,414D310E44,,,,1780,NA,,935,51,Population
11/26/1998,,bonrip,5E,414D2E6226,,F,,1730,135,,934,51,Population
11/27/1998,,bonrip,10C,410912535D,,M,,1670,145,,881,51,Population
11/27/1998,,bonrip,1C,414D182B2A,,F,,1990,NA,,925,51,Population
11/27/1998,,bonrip,1E,414D363F65,,M,,1870,NA,,937,51,Population
11/27/1998,,bonrip,2A,414D171B7F,,F,,1650,145,,924,51,Population
11/27/1998,,bonrip,2B,414D320671,,M,,NA,NA,,936,51,Population
11/27/1998,,bonrip,2C,414D231059,,M,,1670,NA,,930,51,Population
11/27/1998,,bonrip,2E,414D0B2C38,,F,,1830,125,,918,51,Population
11/27/1998,,bonrip,3B,414D2A247D,,M,,NA,NA,,932,51,Population
11/27/1998,,bonrip,3C,414D114458,,M,,NA,134,,922,51,Population
11/27/1998,,bonrip,3E,414D193011,,F,,NA,133,,926,51,Population
11/27/1998,,bonrip,4B,410916792D,,F,,NA,NA,,884,51,Population
11/27/1998,,bonrip,4C,4109156D37,,F,,1670,NA,,883,51,Population
11/27/1998,,bonrip,4E,414D2E6226,,F,,NA,NA,,934,51,Population
11/27/1998,,bonrip,5B,4109285A73,,F,,1770,145,,894,51,Population
11/27/1998,,bonrip,5C,41090F5E01,,M,,1690,NA,,878,51,Population
11/27/1998,,bonrip,6A,41093A0623,,F,,NA,NA,,900,51,Population
11/27/1998,,bonrip,6B,4109350E4D,,F,,1640,137,,899,51,Population
11/27/1998,,bonrip,6C,4109264B12,,M,,1750,130,,891,51,Population
11/27/1998,,bonrip,7B,4109297F5D,,F,,NA,NA,,895,51,Population
11/27/1998,,bonrip,7C,41091A5978,,M,,1690,146,,886,51,Population
11/27/1998,,bonrip,7E,4109276054,,M,,1720,NA,,892,51,Population
11/27/1998,,bonrip,8A,4109343929,,M,,1510,NA,,898,51,Population
11/27/1998,,bonrip,8B,41091C6706,,F,,NA,NA,,887,51,Population
11/27/1998,,bonrip,8E,41092A5A14,,M,,1620,NA,,896,51,Population
11/27/1998,,bonrip,9A,4109101C08,,F,,1790,145,,880,51,Population
11/27/1998,,bonrip,9D,4109257C11,,M,,1770,NA,,890,51,Population
11/28/1998,,bonrip,1C,4109250570,,M,,1870,NA,,888,51,Population
11/28/1998,,bonrip,1D,414D103E3A,,M,,1370,NA,,921,51,Population
11/28/1998,,bonrip,1E,414D0B2C38,,F,,NA,130,,918,51,Population
11/28/1998,,bonrip,2B,414D1E3557,,F,,1670,NA,,929,51,Population
11/28/1998,,bonrip,2C,4109152F7A,,F,,1470,NA,,882,51,Population
11/28/1998,,bonrip,3D,414D197C34,,M,,NA,NA,,927,51,Population
11/28/1998,,bonrip,3E,414D1D0559,,M,,NA,153,,928,51,Population
11/28/1998,,bonrip,4B,414D2E6226,,F,,NA,150,,934,51,Population
11/28/1998,,bonrip,5A,4109187F32,,F,,1770,120,,885,51,Population
11/28/1998,,bonrip,5D,414D0E236B,,M,,NA,NA,,919,51,Population
11/28/1998,,bonrip,6A,41090F6220,,M,,1770,90,,879,51,Population
11/28/1998,,bonrip,6B,4109285A73,,F,,NA,85,,894,51,Population
11/28/1998,,bonrip,6E,4109282708,,F,,1770,NA,,893,51,Population
11/28/1998,,bonrip,7C,41091C6706,,F,,NA,89,,887,51,Population
11/28/1998,,bonrip,7D,4109276054,,M,,NA,98,,892,51,Population
11/28/1998,,bonrip,8A,4109253D4B,,F,,1670,95,,889,51,Population
11/28/1998,,bonrip,8C,4109297F5D,,F,,NA,99,,895,51,Population
11/28/1998,,bonrip,8D,41092A5A14,,M,,NA,84,,896,51,Population
11/28/1998,,bonrip,9A,4109343929,,M,,NA,94,,898,51,Population
11/28/1998,,bonrip,9B,4109314D2F,,F,,1720,96,,897,51,Population
3/14/1999,,bonrip,1A,4109282708,,F,,1640,101,,893,52,Population
3/14/1999,,bonrip,1C,413A0E011F,,F,,1670,80,,904,52,Population
3/14/1999,,bonrip,1D,413A051820,,F,,1480,95,,903,52,Population
3/14/1999,,bonrip,3A,413A3C760A,,F,,1940,137,,908,52,Population
3/14/1999,,bonrip,3E,413A366D15,,F,,1400,147,,906,52,Population
3/14/1999,,bonrip,4C,41090F5E01,,M,,1450,92,,878,52,Population
3/14/1999,,bonrip,6B,413A0F6448,,F,,1780,96,,905,52,Population
3/14/1999,,bonrip,6C,4109264B12,,M,,1860,84,,891,52,Population
3/14/1999,,bonrip,9A,4109257C11,,M,,1580,95,,890,52,Population
3/14/1999,,bonrip,9B,4142314A62,,F,,1480,130,,913,52,Population
3/15/1999,,bonrip,10B,4142314A62,,F,,1500,139,,913,52,Population
3/15/1999,,bonrip,1B,413A0E011F,,F,,1760,NA,,904,52,Population
3/15/1999,,bonrip,1C,4139741776,,M,,1560,102,,901,52,Population
3/15/1999,,bonrip,1E,413A051820,,F,,NA,96,,903,52,Population
3/15/1999,,bonrip,5B,413A0F6448,,F,,1580,141,,905,52,Population
3/15/1999,,bonrip,6A,41093A0623,,F,,1600,95,,900,52,Population
3/15/1999,,bonrip,6C,41090F5E01,,M,,1420,90,,878,52,Population
3/15/1999,,bonrip,7A,413A4A1E47,,M,,1660,138,,909,52,Population
3/15/1999,,bonrip,7C,4109264B12,,M,,1510,85,,891,52,Population
3/15/1999,,bonrip,9A,4109257C11,,M,,NA,94,,890,52,Population
3/15/1999,,bonrip,9B,4109253D4B,,F,,1820,105,,889,52,Population
3/15/1999,,bonrip,9E,41092A5A14,,M,,1580,88,,896,52,Population
3/16/1999,,bonrip,10C,4142314A62,,F,,NA,132,,913,52,Population
3/16/1999,,bonrip,1B,414D182B2A,,F,,1700,NA,,925,52,Population
3/16/1999,,bonrip,1C,413A3C426D,,F,,1300,133,,907,52,Population
3/16/1999,,bonrip,3B,41090F5E01,,M,,1200,108,,878,52,Population
3/16/1999,,bonrip,3E,413A366D15,,F,,1350,138,,906,52,Population
3/16/1999,,bonrip,5A,41093A0623,,F,,NA,79,,900,52,Population
3/16/1999,,bonrip,6C,4109264B12,,M,,NA,88,,891,52,Population
3/16/1999,,bonrip,7A,4139785059,,F,,1300,NA,,902,52,Population
3/16/1999,,bonrip,7B,413A4A1E47,,M,,NA,137,,909,52,Population
3/16/1999,,bonrip,7C,41090F6220,,M,,1300,82,,879,52,Population
3/16/1999,,bonrip,7E,41092A5A14,,M,,NA,102,,896,52,Population
3/16/1999,,bonrip,8A,4109253D4B,,F,,NA,98,,889,52,Population
3/17/1999,,bonrip,1B,413A3C426D,,F,,NA,135,,907,52,Population
3/17/1999,,bonrip,1C,413A0E011F,,F,,1720,95,,904,52,Population
3/17/1999,,bonrip,2B,4109282708,,F,,1780,85,,893,52,Population
3/17/1999,,bonrip,3B,41423B0C05,,F,,1780,138,,914,52,Population
3/17/1999,,bonrip,3D,413A366D15,,F,,1380,142,,906,52,Population
3/17/1999,,bonrip,4C,41090F5E01,,M,,1320,143,,878,52,Population
3/17/1999,,bonrip,5B,41093A0623,,F,,1470,139,,900,52,Population
3/17/1999,,bonrip,5E,414249393C,,F,,1800,135,,915,52,Population
3/17/1999,,bonrip,6C,4109264B12,,M,,NA,NA,,891,52,Population
3/17/1999,,bonrip,7B,413A4A1E47,,M,,NA,136,,909,52,Population
3/17/1999,,bonrip,7E,41090F6220,,M,,NA,85,,879,52,Population
3/17/1999,,bonrip,8A,4109253D4B,,F,,1375,138,,889,52,Population
3/17/1999,,bonrip,9A,4142314A62,,F,,NA,115,,913,52,Population
3/17/1999,,bonrip,9D,41092A5A14,,M,,NA,133,,896,52,Population
6/23/1999,,bonrip,2C,68,69,M,J,395,126,,643,53,Population
6/23/1999,,bonrip,2E,70,71,F,J,420,137,,653,53,Population
6/23/1999,,bonrip,3D,72,73,M,J,445,144,,944,53,Population
6/23/1999,,bonrip,4B,76,77,M,J,410,115,,663,53,Population
6/23/1999,,bonrip,4C,78,79,M,J,430,132,,670,53,Population
6/23/1999,,bonrip,4C,74,75,M,J,520,139,,661,53,Population
6/23/1999,,bonrip,4D,74,75,M,J,435,124,,661,53,Population
6/24/1999,,bonrip,2B,80,81,M,J,545,126,,675,53,Population
6/24/1999,,bonrip,3A,94,95,M,J,425,120,,718,53,Population
6/24/1999,,bonrip,3C,78,79,M,J,425,139,,670,53,Population
6/24/1999,,bonrip,3E,82,83,F,J,480,87,,685,53,Population
